run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,rt,stimulus,response,view_history,task,correct_response,accuracy,screen_id,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version,study_id,session_id,group,question_order,block,correct
6,1,"""","""","""","""","""",image-keyboard-response,11,19994,0.0-3.0-2.0-0.2,"""",null,img/fixation.png,null,"""",fixation,"""","""","""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",image-keyboard-response,12,21081,0.0-3.0-2.0-1.2,"""",1084,img/flower_right.png,f,"""",practice,f,1,"""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",html-keyboard-response,13,22082,0.0-3.0-2.0-2.2,"""",null,CORRECT!,null,"""","""","""","""",feedback,2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",image-keyboard-response,14,24084,0.0-3.0-2.0-0.3,"""",null,img/fixation.png,null,"""",fixation,"""","""","""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",image-keyboard-response,15,24632,0.0-3.0-2.0-1.3,"""",547.0000000000036,img/heart_right.png,j,"""",practice,j,1,"""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",html-keyboard-response,16,25634,0.0-3.0-2.0-2.3,"""",null,CORRECT!,null,"""","""","""","""",feedback,2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",image-keyboard-response,17,27637,0.0-3.0-2.0-0.4,"""",null,img/fixation.png,null,"""",fixation,"""","""","""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",image-keyboard-response,18,28152,0.0-3.0-2.0-1.4,"""",501,img/flower_right.png,j,"""",practice,f,0,"""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",html-keyboard-response,19,29153,0.0-3.0-2.0-2.4,"""",null,INCORRECT!,null,"""","""","""","""",feedback,2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
6,1,"""","""","""","""","""",image-keyboard-response,20,30155,0.0-3.0-2.0-0.5,"""",null,img/fixation.png,null,"""",fixation,"""","""","""",2021-10-21 04:47:51,24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,ebc9e4f92b8ec2c3b299c881282ee4df
