run_id,condition,success,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,group,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,task,question_order,view_history,correct_response,accuracy,screen_id,block,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
28,1,"""",image-keyboard-response,56,256308,0.0-9.0-1.2,"""","""","""",EASY,"""","""","""","""",898,img/heart_right.png,j,response,"""","""",j,1,"""",1,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,57,258312,0.0-9.0-0.3,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",1,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,58,258928,0.0-9.0-1.3,"""","""","""",EASY,"""","""","""","""",615.1000000238419,img/heart_left.png,f,response,"""","""",f,1,"""",1,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,59,260181,0.0-9.0-0.4,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",1,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,60,260792,0.0-9.0-1.4,"""","""","""",EASY,"""","""","""","""",610.3000000715256,img/heart_right.png,j,response,"""","""",j,1,"""",1,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,61,261295,0.0-9.0-0.5,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",1,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,62,261866,0.0-9.0-1.5,"""","""","""",EASY,"""","""","""","""",570.1000000238419,img/heart_left.png,f,response,"""","""",f,1,"""",1,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,63,263623,0.0-9.0-0.6,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",1,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,64,264108,0.0-9.0-1.6,"""","""","""",EASY,"""","""","""","""",483.2000000476837,img/heart_left.png,f,response,"""","""",f,1,"""",1,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
28,1,"""",image-keyboard-response,65,264363,0.0-9.0-0.7,"""","""","""",EASY,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""",1,"2021-11-15 03:34:31",24.4.120.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Macintosh,Chrome,95.0.4638.69,"OS X",10_15_7,fc80173b241c556346404f5d33b3977b
