run_id,condition,success,trial_type,trial_index,time_elapsed,internal_node_id,PROLIFIC_PID,STUDY_ID,SESSION_ID,subject_id,study_id,session_id,group,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,task,question_order,view_history,correct_response,accuracy,screen_id,block,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
4,1,"""",image-keyboard-response,10,115732,0.0-4.0-0.2,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,HARD,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""","""",2021-11-18 00:01:46,105.12.3.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",WebKit,Chrome,95.0.4638.69,Windows,10.0,dea0c026f67335fbc761b19bc27fdecd
4,1,"""",image-keyboard-response,11,145756,0.0-4.0-1.2,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,HARD,"""","""","""","""",null,scarcity/easy/scenario2.png,null,"""","""","""","""","""","""","""",2021-11-18 00:01:46,105.12.3.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",WebKit,Chrome,95.0.4638.69,Windows,10.0,dea0c026f67335fbc761b19bc27fdecd
4,1,"""",survey-multi-choice,12,152293,0.0-4.0-2.2,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,HARD,"""","""","""","""",6534.199999809265,"""","{""Q0"":""Yes"",""Q1"":""Yes""}","""","[0,1]","""","""","""","""","""",2021-11-18 00:01:46,105.12.3.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",WebKit,Chrome,95.0.4638.69,Windows,10.0,dea0c026f67335fbc761b19bc27fdecd
4,1,"""",image-keyboard-response,13,154050,0.0-4.0-0.3,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,HARD,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""","""",2021-11-18 00:01:46,105.12.3.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",WebKit,Chrome,95.0.4638.69,Windows,10.0,dea0c026f67335fbc761b19bc27fdecd
4,1,"""",image-keyboard-response,14,184063,0.0-4.0-1.3,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,HARD,"""","""","""","""",null,scarcity/easy/scenario4.png,null,"""","""","""","""","""","""","""",2021-11-18 00:01:46,105.12.3.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",WebKit,Chrome,95.0.4638.69,Windows,10.0,dea0c026f67335fbc761b19bc27fdecd
4,1,"""",survey-multi-choice,15,191887,0.0-4.0-2.3,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,HARD,"""","""","""","""",7818.800000190735,"""","{""Q0"":""Yes"",""Q1"":""Yes""}","""","[0,1]","""","""","""","""","""",2021-11-18 00:01:46,105.12.3.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",WebKit,Chrome,95.0.4638.69,Windows,10.0,dea0c026f67335fbc761b19bc27fdecd
4,1,"""",html-button-response,16,197055,0.0-5.0,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,HARD,"""","""","""","""",5165.5,"<p>You have finished reviewing each scenario!</p><p>We will now begin the cognitive experiment.<p><p>When you are ready to begin the cognitive game, please press START.</p>",0,"""","""","""","""","""","""","""",2021-11-18 00:01:46,105.12.3.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",WebKit,Chrome,95.0.4638.69,Windows,10.0,dea0c026f67335fbc761b19bc27fdecd
4,1,"""",instructions,17,297713,0.0-6.0-0.0,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,HARD,"""","""","""","""",98892.40000009537,"""","""","""","""","[{""page_index"":0,""viewing_time"":23037},{""page_index"":1,""viewing_time"":20141.200000286102},{""page_index"":2,""viewing_time"":11594.099999904633},{""page_index"":3,""viewing_time"":8090.599999904633},{""page_index"":4,""viewing_time"":9198.199999809265},{""page_index"":5,""viewing_time"":13492.400000095367},{""page_index"":6,""viewing_time"":13337.5}]","""","""","""","""",2021-11-18 00:01:46,105.12.3.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",WebKit,Chrome,95.0.4638.69,Windows,10.0,dea0c026f67335fbc761b19bc27fdecd
4,1,"""",image-button-response,18,330760,0.0-6.0-1.0,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,HARD,"""","""","""","""",33044.5,begin_practice.png,0,"""","""","""","""","""","""","""",2021-11-18 00:01:46,105.12.3.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",WebKit,Chrome,95.0.4638.69,Windows,10.0,dea0c026f67335fbc761b19bc27fdecd
4,1,"""",image-keyboard-response,19,333272,0.0-6.0-2.0-0.0,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,6121397b03ca9997c36260fb,61959741cbff6ce92d351fcf,619597ac3511476c5ef595cb,HARD,"""","""","""","""",null,img/fixation.png,null,fixation,"""","""","""","""","""","""",2021-11-18 00:01:46,105.12.3.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",WebKit,Chrome,95.0.4638.69,Windows,10.0,dea0c026f67335fbc761b19bc27fdecd
